midwest,illinois,indiana,iowa,kansas,michigan,minnesota,missouri,nebraska,north dakota,ohio,south dakota,wisconsin,chicago,detroit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west coast,california,oregon,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
east coast,maine,new hampshire,massachusetts,rhode island,connecticut,new york,new jersey,delaware,maryland,virginia,north carolina,south carolina,georgia,florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
europe,albania,andorra,armenia,austria,azerbaijan,belarus,belgium,bosnia and herzegovina,bulgaria,croatia,cyprus,czech republic,denmark,estonia,finland,france,georgia,germany,greece,hungary,iceland,ireland,italy,kazakhstan,kosovo,latvia,liechtenstein,lithuania,luxembourg,macedonia,malta,moldova,monaco,montenegro,netherlands,norway,poland,portugal,romania,russia,san marino,serbia,slovakia,slovenia,spain,sweden,switzerland,turkey,ukraine,united kingdom,vatican city
